seq_no,inside_temp,Outside_temp,outside_RH,Radiation_intensity,Rail_Heating,AHU_Cooling,Fan_speed,inlet_vent_position
1,19.8,24.1,100,0,0,-3.5,440,0
2,19.7,24.2,100,0,0,-3.5,294.3,0
3,19.6,24.1,100,0,0,-3.5,283.3,0
4,19.6,24.2,100,0,0,-3.25,272.3,0
5,19.5,24,100,0,0,-3.75,261.3,0
6,19.4,24,100,0,0,-4.25,253,0
7,19.3,24.1,100,0,0,-4.25,244.8,0
8,19.4,23.9,100,0,0,0,440,0
9,19.8,23.9,100,0,0,0,431.8,0
10,20.2,24,100,0,0,0,415.5,0
11,20.5,23.7,100,0,0,0,429,0
12,20.7,23.9,100,0,0,0,424.5,0
13,21,23.8,100,0,0,0,431.8,0
14,21.1,23.8,100,0,0,0,445.5,0
15,21.3,23.7,100,0,0,0,456.5,0
16,21.4,23.8,100,0,0,0,467.3,0
17,21.5,23.8,100,0,0,0,478.5,0
18,21.6,23.4,100,0,0,0,489.8,0
19,21.7,23.5,100,0,0,0,500.5,0
20,21.8,23.6,100,0,0,0,508.8,0
21,21.9,23.6,100,0,0,0,517,0
22,22,23.6,100,0,0,0,525,0
23,22.1,23.5,100,0,0.25,0,533.5,0
24,22.1,23.6,100,0,0.25,0,541.8,0
25,22.2,23.6,100,0,0.25,0,552.8,0
26,22.2,23.7,100,0,0.25,0,561,0
27,22.3,23.7,100,0,0.25,0,569.3,0
28,22.3,23.5,100,0,1,0,580.3,0
29,22.4,23.4,100,0,9.75,0,580,0
30,22.8,23.4,100,0,8.5,0,542,0
31,22.9,23.4,100,0,5.25,0,522.5,0
32,23.1,23.5,100,0,6.25,0,500.5,0
33,23.3,23.5,100,0,5,0,494.8,0
34,23.5,23.5,100,0,4.25,0,486.8,0
35,23.6,23.4,100,0,3.75,0,481.3,0
36,23.8,23.5,100,0.4,3.5,0,638.3,0
37,24.1,23.4,100,2.1,1.75,0,864.3,0
38,24.2,23.5,100,5.9,0,0,879.8,54.5
39,24.2,23.5,100,12.7,0,0,880,60
40,24.2,23.6,100,20.5,0,0,879.8,61.5
41,24.3,23.7,100,28.9,0,0,880,67.2
42,24.5,23.8,100,40.6,0,0,880,67.2
43,24.6,23.9,100,50,0,0,880,68.4
44,24.7,24.1,100,59.2,0,0,880,73.3
45,24.9,24.2,100,73.9,0,0,880,73.3
46,25.2,24.3,100,90.9,0,0,880.3,82.3
47,25.3,24.5,100,108.2,0,0,880,82.3
48,25.5,24.6,100,124.8,0,0,879.8,91.6
49,25.7,24.8,100,138.9,0,0,880,91.6
50,25.8,24.9,99,149.6,0,0,880,91.6
51,25.9,25.1,99,155.7,0,0,880,97.6
52,25.9,25.1,98,158.6,0,0,879.8,97.6
53,26.1,25.7,96,176.4,0,0,879.8,97.6
54,26.9,26.3,93,234.1,0,0,880.3,97.6
55,28.5,28,86,389.8,0,0,880,97.6
56,28.5,28,85,433.1,0,0,880,98.6
57,28.8,29.1,81,471.7,0,0,880,99.6
58,28.3,28.4,82,432.8,0,0,880.3,99.9
59,28.9,27.9,86,446.1,0,0,879.8,99.9
60,28.6,27.8,87,437.9,0,-4.5,880,99.9
61,29.1,28.3,85,516.7,0,-6.25,880,99.9
62,29.6,29.7,79,609.2,0,-8.75,880.3,99.9
63,29.7,29.8,80,668.1,0,-8.25,880.3,99.9
64,30.2,29.5,81,719.1,0,-8.5,880.5,99.9
65,29.4,30.6,72,760.3,0,-8.5,879.8,99.9
66,29.1,31.4,71,787.3,0,-8.5,880,99.1
67,29.2,31.4,71,803.3,0,-8.5,880,99.7
68,29.3,31,75,797.7,0,-8.5,880,97.9
69,29.3,30.7,70,791.7,0,-9,880,90.9
70,30,31.1,68,848.1,0,-9,880,88.9
71,29.9,30.8,70,862.6,0,-9,880,87.3
72,30.4,31,69,906.5,0,-9,879.8,87.3
73,30.1,30.6,71,879.8,0,-9,880,88.9
74,30.4,30.6,71,884.5,0,-9,880.3,81.8
75,30.5,30.8,71,887.4,0,-9,880,81.4
76,30.5,30.6,71,888.6,0,-9,879.8,83.3
77,29.9,30.6,73,796.6,0,-9,880,72.9
78,30.4,30.4,73,798.2,0,-9,880,68.1
79,30.6,30.5,72,823.1,0,-9,880,75.8
80,30.4,30.5,75,800.5,0,-9,880,78.8
81,30.2,30.3,76,759.1,0,-9,880,74.7
82,29.7,30,76,683.5,0,-9,880,70.3
83,29.9,30.1,76,608.4,0,-9,879.8,66.3
84,29.2,29.6,77,491.5,0,-9,770.3,63.1
85,29.2,29.8,77,435.2,0,-9,770,53.2
86,28.8,29.6,76,379,0,-9,770,50.2
87,28.3,29.1,80,318.6,0,-8.5,770,38.7
88,28.1,29,80,286.9,0,-8.5,770,34
89,28,29,78,266.8,0,-8.5,770,29.8
90,28.2,29.1,80,274.3,0,-8.5,770.5,30.8
91,28.2,29.1,80,272,0,-8.5,769.8,34.5
92,28.4,29.2,80,286.9,0,-8.5,770.5,34.9
93,28.6,29.1,80,298.6,0,-8.5,769.8,41.6
94,28.2,29,80,283.5,0,-8.5,770.3,35
95,28,28.9,81,260,0,-8.5,770,28.7
96,27.6,28.8,82,224,0,-8.5,770,17.6
97,27.4,28.6,83,195,0,-8.5,770,7
98,27.2,28.6,83,178.6,0,-8.25,770,3.6
99,27.3,28.7,83,184.8,0,-8.25,770,4.3
100,27.3,28.6,84,190.7,0,-8.25,770.5,5.4
101,27.4,28.6,82,197,0,-8.25,770,8.1
102,27.5,28.6,83,210.4,0,-8.25,770.3,18.5
103,27.7,28.8,82,225.4,0,-8.25,770,30.8
104,27.6,28.8,81,226.4,0,-8.25,767.3,41.4
